timestamp,tOut,humidity,tIn,maciek,dawid,wojtek,patryk
1571282000,3.989,74.5,20.7272262061497,1,1,1,1
1571282900,4.129,73.8999,19.6820769417136,1,0,1,1
1571283800,3.859,75.2999,20.1677909210545,1,0,1,1
1571284700,3.906,74.6,19.3545156852917,1,1,1,1
1571285600,3.952,74.1,19.7422825298771,1,1,1,1
1571286500,3.933,74.3999,19.0570350599038,0,1,1,1
1571287400,3.284,76.8999,19.8579501617437,0,1,1,1
1571288300,2.57,79.2,18.6607766705084,0,1,0,1
1571289200,2.565,81.1,19.9801428686234,1,1,1,1
1571290100,2.702,79.6,20.0615021377886,1,1,1,1
1571291000,2.798,78.6,19.6000284135135,1,1,1,1
1571291900,2.764,80.1,19.5197948295292,0,1,1,1
1571292800,2.722,79.6,19.4154843621921,0,1,1,1
1571293700,2.574,81.5,18.6942069444695,1,1,1,1
1571294600,2.734,81.8999,20.4168922417427,1,1,1,1
1571295500,2.91,81.6,19.5228759476424,1,1,1,1
1571296400,3.151,81,18.8791544479386,0,1,1,1
1571297300,3.144,80.5,18.7252508681849,1,1,1,1
1571298200,3.02,80.2,19.627791322785,1,1,1,1
1571299100,2.736,80.5,20.4094841841806,1,1,1,0
1571300000,2.115,81.1,19.2955499630893,0,1,0,0
1571300900,1.703,85.5,19.1947280320426,0,1,0,0
1571301800,2.035,85.5,19.5830128209063,0,1,1,0
1571302700,2.427,83.7999,20.4642998090965,0,0,1,0
1571303600,2.507,83.1,19.9834210485243,0,0,0,1
1571304500,1.988,82.7999,20,0,0,0,0
1571305400,1.846,85.2999,19.3883958257558,0,1,0,0
1571306300,0.830999,85.8999,20,0,0,0,0
1571307200,0.66,86.6,19.2529601280542,0,0,0,1
1571308100,0.11,87.7,20,0,0,0,0
1571309000,0.276,89.2,20,0,0,0,0
1571309900,0.24,89,20,0,0,0,0
1571310800,-0.0779999,90.3999,19.6179499869705,0,0,0,1
1571311700,1.166,91.2999,19.9047842249057,0,0,0,1
1571312600,0.118,90.3999,20,0,0,0,0
1571313500,0.448,91.8999,20,0,0,0,0
1571314400,0.397,92.7,19.58408843491,0,1,0,0
1571315300,1.149,93.7999,20,0,0,0,0
1571316200,1.673,91.3999,20,0,0,0,0
1571317100,1.085,91.7,20,0,0,0,0
1571318000,1.188,95.1,19.56776056846,0,1,0,0
1571318900,1.799,93.1,20,0,0,0,0
1571319800,1.584,93.3999,20.0674205415274,0,0,1,0
1571320700,1.721,93.7,20,0,0,0,0
1571321600,1.448,94,20,0,0,0,0
1571322500,1.397,94.2,20,0,0,0,0
1571323400,2.149,94.1,19.0581690588408,0,1,0,0
1571324300,2.75,93.3999,20,0,0,0,0
1571325200,2.944,92.7,20,0,0,0,0
1571326100,3.239,91.7999,18.657710909354,0,1,0,1
1571327000,3.692,89.8999,20.0650804924923,0,0,1,0
1571327900,4.08099,88.1,20.8257418766205,1,0,0,0
1571328800,4.313,85.3999,20,0,0,0,0
1571329700,4.44299,84.2,19.6650175514198,0,1,0,0
1571330600,4.728,82,19.6740109927219,1,1,0,0
1571331500,5.24799,79.7,21.1804189820101,1,0,1,0
1571332400,5.756,77.5,20.0195232574493,0,0,1,0
1571333300,5.807,76.2,20.0560792904969,1,0,0,0
1571334200,6.09,74.7,19.0169921057287,0,1,0,0
1571335100,6.91499,70.5,19.9551335966898,1,1,0,0
1571336000,7.75,68.2999,20,0,0,0,0
1571336900,6.922,70.2,20,0,0,0,0
1571337800,6.407,70.2999,20,0,0,0,0
1571338700,6.418,69.72,20,0,0,0,0
1571339600,7.16,66.24,20,0,0,0,0
1571340500,7.3,67.11,19.817094870837,0,0,0,1
1571341400,7.14999,66.36,20.6993788731819,0,0,1,0
1571342300,7.37,59.36,20,0,0,0,0
1571343200,7.17,58.62,20,0,0,0,0
1571344100,7.16,59.36,20,0,0,0,0
1571345000,7.2,57.4,20,0,0,0,0
1571345900,7.62,53.48,20.7792260602209,1,0,0,0
1571346800,7.8,53.85,20.8493732816768,0,0,1,0
1571347700,7.85,53.95,20,0,0,0,0
1571348600,7.57,55.21,20,0,0,0,0
1571349500,7.62,53.0699,20,0,0,0,0
1571350400,7.24,55.14,19.9997057520411,0,0,0,1
1571351300,7.10999,54.6,19.9958005417776,0,1,0,0
1571352200,7.03,55.54,20,0,0,0,0
1571353100,6.812,56.87,19.3912206550151,0,1,0,0
1571354000,6.588,57.58,20.8631556845139,0,0,1,0
1571354900,6.501,59.04,19.7773082201155,0,1,0,0
1571355800,6.223,61.5,19.1074343127781,0,1,0,0
1571356700,5.798,64.4099,19.599925576708,0,1,0,0
1571357600,5.105,66.7799,19.0665417470332,0,1,1,1
1571358500,4.003,69.25,20.5327918889921,1,1,1,0
1571359400,3.37,71.1,20.3646957227658,1,1,1,1
1571360300,4.071,73.7999,20.3977751237564,1,1,1,0
1571361200,3.124,76.7,20.5686129146644,1,0,1,0
1571362100,2.707,79.5,20.598568503528,1,1,1,0
1571363000,2.236,80.2,21.0261797383655,1,1,1,0
1571363900,1.77,81.6,19.6310464617419,1,1,1,0
1571364800,1.506,84.5,20.5136031683424,1,1,1,0
1571365700,1.653,84.3999,21.8138483477146,1,1,1,0
1571366600,1.085,85.1,20.1693139281672,0,1,1,1
1571367500,0.844,85.2999,20.1991548455954,0,1,1,1
1571368400,0.752,86.7,19.2488853722292,0,1,0,1
1571369300,0.579,86.7999,19.5397699971058,0,1,1,1
1571370200,0.107,87.3999,19.0926527556241,0,1,1,1
1571371100,0.073,87.8999,20.6160695969515,1,1,1,1
1571372000,0.144,88.7999,20.0246921805132,1,0,1,1
1571372900,-0.185,89,19.2845107634677,1,1,1,1
1571373800,-0.207,89.3999,19.957365738261,1,1,1,1
1571374700,-0.293,90.2999,19.1984722829824,1,1,1,1
1571375600,-0.648999,90.6,20.3148023669986,1,1,1,1
1571376500,-0.53,90.2999,20.5303609047116,1,0,1,1
1571377400,-0.601999,90.6,20.9666086960848,1,0,1,1
1571378300,-0.658999,91.3999,21.0889130995142,1,0,1,1
1571379200,-0.396,91.3999,21.1723201078332,1,0,1,1
1571380100,-0.399,92.2999,19.2019171052457,1,1,1,1
1571381000,-0.238,91.6,20.9511134025028,1,1,1,1
1571381900,-0.599,92.3999,20.636605472545,1,1,1,1
1571382800,-0.335,92.2,19.6105069510652,1,1,1,1
1571383700,-0.372,92.3999,20.4240779118582,1,1,1,1
1571384600,-0.049,93,19.8973835807869,1,1,1,1
1571385500,0.44,93.6,20.1235569553849,1,1,1,1
1571386400,0.747,92.7,20.3442004346343,1,0,0,0
1571387300,0.832999,92.7,20,0,0,0,0
1571388200,0.952999,92.6,20,0,0,0,0
1571389100,0.463,92.2999,20,0,0,0,0
1571390000,0.484,92.6,20,0,0,0,0
1571390900,0.582999,92.7,20.5328832622097,1,0,0,0
1571391800,0.825,93.3999,20,0,0,0,0
1571392700,1.004,92.7999,20,0,0,0,0
1571393600,1.071,92.7999,20,0,0,0,0
1571394500,1.06,92.8999,20,0,0,0,0
1571395400,1.087,92.8999,20,0,0,0,0
1571396300,1.114,92.6,20.6071281296178,1,0,0,0
1571397200,1.174,92.7,19.0207870527133,0,1,0,0
1571398100,1.17,92.2999,20,0,0,0,0
1571399000,1.083,91.6,20.0226615384196,1,1,0,0
1571399900,1.075,91.3999,19.1553475311648,0,1,0,0
1571400800,0.969999,91.5,20,0,0,0,0
1571401700,0.948,91.5,20,0,0,0,0
1571402600,0.971999,91.3999,20.6985205753863,0,0,1,0
1571403500,0.917999,91.6,20,0,0,0,0
1571404400,0.908,91.7,20,0,0,0,0
1571405300,0.893999,91.7999,20.1925146511397,1,0,0,0
1571406200,0.898,91.5,20.8023363142771,1,0,0,0
1571407100,0.981,91.6,20,0,0,0,0
1571408000,1.025,91.7,20,0,0,0,0
1571408900,1.079,91.2999,20,0,0,0,0
1571409800,1.173,91.1,20,0,0,0,0
1571410700,1.341,91,20,0,0,0,0
1571411600,1.453,90.8999,20,0,0,0,0
1571412500,1.723,90.7,20,0,0,0,0
1571413400,1.819,89.3999,20,0,0,0,0
1571414300,1.959,88.2999,20.6290416437449,0,0,1,0
1571415200,2.121,87.7999,20.3482856598384,0,0,1,0
1571416100,2.339,86.1,20.5787270672621,0,0,1,0
1571417000,2.375,85.5,20,0,0,0,0
1571417900,2.549,84.8999,20,0,0,0,0
1571418800,2.846,83.7,19.8337692334145,0,0,1,1
1571419700,3.105,83.2999,19.0020214773349,0,0,0,1
1571420600,3.55,82,20,0,0,0,0
1571421500,3.69,81.2999,20,0,0,0,0
1571422400,3.944,81.5,20,0,0,0,0
1571423300,4.09299,79.7,20,0,0,0,0
1571424200,4.24799,79.7,19.5993732372244,0,0,0,1
1571425100,4.425,79.8999,19.8442147286504,0,0,0,1
1571426000,4.708,79,20,0,0,0,0
1571426900,5.521,76.2,20,0,0,0,0
1571427800,4.834,78.2999,20,0,0,0,0
1571428700,4.53699,79.7,20.9104857848305,0,0,1,0
1571429600,4.549,79.6,20.4863275619951,0,0,1,0
1571430500,4.644,79.8999,20,0,0,0,0
1571431400,4.952,78.8999,20,0,0,0,0
1571432300,5.002,78.7999,20,0,0,0,0
1571433200,5.21,77.6,20,0,0,0,0
1571434100,5.271,78.2999,20,0,0,0,0
1571435000,5.341,78.5,20,0,0,0,0
1571435900,5.477,77.8999,20,0,0,0,0
1571436800,5.695,77.5,20,0,0,0,0
1571437700,5.78999,77,20,0,0,0,0
1571438600,5.71899,74.8999,19.8514114368922,0,1,0,0
1571439500,5.66599,73.7,20,0,0,0,0
1571440400,5.63699,73.6,20.6293199741327,1,0,0,0
1571441300,5.481,74.5,20.2002212291818,1,0,0,0
1571442200,5.363,75.7999,19.9378333535441,1,1,0,0
1571443100,5.383,76.2999,19.9638612380733,1,1,0,0
1571444000,5.328,76.8999,19.8457568068663,1,1,1,0
1571444900,5.236,77.8999,20.883338773291,1,1,1,1
1571445800,5.211,78.3999,19.5280814324188,1,1,1,1
1571446700,5.13499,78.2999,20.887521140185,1,1,1,1
1571447600,4.905,78.8999,20.0385352644837,1,1,1,1
1571448500,4.74899,79.6,20.091729667155,1,1,1,1
1571449400,4.767,79.5,19.1426975644118,1,1,1,1
1571450300,4.738,79.3999,20.1351787852191,1,1,1,1
1571451200,4.71799,77.8999,20.1064460682012,1,0,1,0
1571452100,4.52699,78,21.4528200515802,1,1,1,0
1571453000,4.31499,78.5,19.5086263819056,1,1,1,1
1571453900,4.154,78.7999,20.3065846698182,1,1,0,1
1571454800,4.063,78.6,20.769510195223,1,1,0,0
1571455700,3.889,78.7999,19.3467213823038,1,1,1,1
1571456600,3.529,80,20.8210512988906,1,1,1,1
1571457500,3.51,81.1,20.3760392413353,1,1,1,1
1571458400,3.549,82.2999,19.7779168452678,1,1,1,1
1571459300,3.495,82.1,20.2681625131202,1,1,1,1
1571460200,3.517,82.6,20.1840845702753,0,1,1,1
1571461100,3.493,82.7,19.9007363295275,1,1,1,1
1571462000,3.355,83,20.3189291477145,1,1,1,1
1571462900,3.451,83.2,19.2211252240676,1,1,1,1
1571463800,3.499,83.2999,19.7978655047094,0,1,1,1
1571464700,3.465,83.7,19.0384761879048,0,1,1,1
1571465600,3.51,84.2999,19.8306381361699,0,1,1,1
1571466500,3.506,85.1,20.5239091502605,1,1,1,0
1571467400,3.338,85.7,19.6633962721349,1,1,1,0
1571468300,3.199,86.1,20.8459212624834,1,0,1,1
1571469200,3.082,86.7,21.2036545666309,1,0,1,0
1571470100,2.942,87.2,20.2290841420295,1,0,1,1
1571471000,2.869,87.3999,19.8327411096806,1,0,0,1
1571471900,2.75,87.6,19.4070945488931,1,0,0,1
1571472800,2.693,88.1,20.8066201603352,1,0,0,0
1571473700,2.598,88.6,20,0,0,0,0
1571474600,2.278,89.3999,20,0,0,0,0
1571475500,2.184,89.5,20,0,0,0,0
1571476400,1.707,89.5,20,0,0,0,0
1571477300,1.605,90.6,19.1104925436565,0,0,0,1
1571478200,3.408,90.8999,19.3535679623112,0,0,0,1
1571479100,3.49699,91.6,20,0,0,0,0
1571480000,3.625,91.6,20,0,0,0,0
1571480900,3.42799,92.3999,19.9390110011793,0,0,0,1
1571481800,3.32999,93.1,19.1055409837194,0,0,0,1
1571482700,3.254,93.7999,20,0,0,0,0
1571483600,3.265,94.5,20,0,0,0,0
1571484500,3.182,94.7,20,0,0,0,0
1571485400,3.02399,95.3999,19.9503742744582,0,0,0,1
1571486300,3.44099,95.2999,20,0,0,0,0
1571487200,3.40099,95.2999,20,0,0,0,0
1571488100,3.02299,95.3999,20,0,0,0,0
1571489000,2.869,94.7999,20,0,0,0,0
1571489900,2.682,94.6,20,0,0,0,0
1571490800,2.674,94.7,19.294414401832,0,1,0,0
1571491700,3.062,94.2999,19.8695173677577,0,1,0,0
1571492600,2.618,94.5,19.8716756004592,0,1,0,0
1571493500,2.908,93.6,19.6582679862378,0,1,0,0
1571494400,3.33199,93.5,20,0,0,0,0
1571495300,4.264,93.2999,20,0,0,0,0
1571496200,4.408,93.2,20,0,0,0,0
1571497100,4.49699,93.1,20,0,0,0,0
1571498000,4.625,93.1,20.9360170170693,1,0,0,0
1571498900,4.42799,93.5,20,0,0,0,0
1571499800,4.32999,93.8999,20,0,0,0,0
1571500700,4.254,94.2999,20,0,0,0,0
1571501600,4.265,94.5,20.6953933427918,1,0,0,0
1571502500,4.182,94.7,20.6110099742075,0,0,1,0
1571503400,4.02399,94,19.5421997996732,0,0,1,1
1571504300,4.44099,94.6,20.30431418879,0,0,1,0
1571505200,4.40099,94.3999,20.2541230747277,0,0,1,0
1571506100,4.02299,92.1,20.578990765552,0,0,1,0
1571507000,3.869,89.1,20.248642289997,0,0,1,0
1571507900,3.682,88,20,0,0,0,0
1571508800,3.674,87.3999,20,0,0,0,0
1571509700,4.062,86.6,20,0,0,0,0
1571510600,3.618,85.7999,20,0,0,0,0
1571511500,3.908,82.7999,20,0,0,0,0
1571512400,4.33199,82.2,20,0,0,0,0
1571513300,5.264,78.7999,20,0,0,0,0
1571514200,5.408,76.7999,20.203677908983,1,0,0,0
1571515100,5.49699,75.3999,20,0,0,0,0
1571516000,5.625,70.6,20,0,0,0,0
1571516900,5.42799,70.5,20,0,0,0,0
1571517800,5.32999,70.8999,20,0,0,0,0
1571518700,5.254,72,20,0,0,0,0
1571519600,5.265,73.6,20,0,0,0,0
1571520500,5.182,72.7,20,0,0,0,0
1571521400,5.02399,71.7,20,0,0,0,0
1571522300,5.44099,66.24,20,0,0,0,0
1571523200,5.40099,66.98,20,0,0,0,0
1571524100,5.02299,68.84,20,0,0,0,0
1571525000,4.869,69.59,20,0,0,0,0
1571525900,4.682,70.7,19.043120916744,0,0,0,1
1571526800,4.674,71.2,20,0,0,0,0
1571527700,4.55399,71.5,20,0,0,0,0
1571528600,4.44199,72.8999,20,0,0,0,0
1571529500,4.38499,73,20,0,0,0,0
1571530400,4.334,73.1,20.0650309775414,1,1,1,0
1571531300,4.3,72.7999,19.357160028759,1,1,1,1
1571532200,4.271,72,19.57559287129,1,1,1,0
1571533100,4.104,72.3999,20.1354759694686,0,1,1,0
1571534000,4.09499,72.7,19.7881958533964,0,1,1,0
1571534900,4.049,73,19.9352678773765,0,1,1,0
1571535800,3.991,72.7,20.2726885416415,1,1,1,0
1571536700,3.944,72.7999,19.128041980597,1,1,1,1
1571537600,3.844,73.6,19.5098712694037,1,1,1,1
1571538500,3.741,73.6,20.6394772564878,1,1,1,1
1571539400,3.797,73.6,20.3659446287909,1,1,1,1
1571540300,3.695,74.2999,20.452698270631,1,0,0,1
1571541200,3.56,75.1,20.0345474597302,1,0,1,1
1571542100,3.526,75.2,21.3099160455513,1,1,1,1
1571543000,3.539,75.2,18.4982015460968,1,1,1,1
1571543900,3.577,75,20.1228220993825,1,1,1,1
1571544800,3.598,75.2999,20.8251914079587,1,1,1,1
1571545700,3.402,78.6,20.490924712488,1,1,1,1
1571546600,3.22,79.8999,21.1402132858245,1,1,1,1
1571547500,3.267,80.3999,19.8763411072004,1,1,0,1
1571548400,3.346,81.1,20.6517329364916,1,1,1,1
1571549300,3.339,81.1,20.2528032686531,1,1,1,1
1571550200,3.265,79.8999,20.3188838281103,1,1,1,1
1571551100,3.096,80,20.1855448297409,0,1,1,1
1571552000,3.038,79.3999,18.89815908601,1,1,1,1
1571552900,2.925,78.7999,21.1152128116572,1,0,1,0
1571553800,2.516,78.6,19.8284323069872,1,1,1,0
1571554700,2.196,79.3999,20.8669373270296,1,1,1,0
1571555600,2.042,79.8999,20.3702291308373,1,1,1,0
1571556500,2.024,79.6,20.0229021475832,1,1,1,1
1571557400,2.123,80.7,20.1830411905058,1,1,1,1
1571558300,2.166,82.7,20.6278146959596,1,1,1,0
1571559200,2.37,83.1,20.230500121559,1,0,1,0
1571560100,2.664,82.2999,20.7098344191962,0,0,1,0
1571561000,2.644,81.5,20,0,0,0,0
1571561900,2.414,83.2,20,0,0,0,0
1571562800,2.078,84.6,20,0,0,0,0
1571563700,1.909,85.3999,20,0,0,0,0
1571564600,1.963,85.7,20,0,0,0,0
1571565500,2.025,85.2999,20,0,0,0,0
1571566400,1.857,85.7999,20,0,0,0,0
1571567300,1.742,86.3999,20,0,0,0,0
1571568200,1.828,86,20,0,0,0,0
1571569100,2.003,86.5,20.0460854950996,1,0,0,1
1571570000,2.104,87,20.5855061562755,1,0,0,1
1571570900,2.343,86.8999,20,0,0,0,0
1571571800,2.066,88.7999,20,0,0,0,0
1571572700,2.054,88.7999,20,0,0,0,0
1571573600,1.958,87.8999,20,0,0,0,0
1571574500,1.672,87.5,20.0868606699054,1,0,0,0
1571575400,1.705,87.8999,19.4901626598182,1,1,0,0
1571576300,1.886,87.8999,20,0,0,0,0
